id,latitude,longitude,name,ref,network,operator
2320297296,-34.5375621,-58.475547,Terminal Saavedra,,,
2328495876,-34.5368499,-58.4761921,Estación de Trasbordo Puente Saavedra,,,
2328495877,-34.5367999,-58.475927,Estación de Trasbordo Puente Saavedra,,,
2328495918,-34.5377061,-58.4756995,Terminal Saavedra,4,,
2331281077,-34.7400515,-58.3981368,Vieytes e Yrigoyen,,,
2340096739,-34.5810581,-58.4741215,Los Incas y Triunvirato,,,
2340096740,-34.5815331,-58.4745339,Los Incas y Triunvirato,,,
2351661037,-34.6297095,-58.4944994,Carrasco y Juan B. Justo,,,
2351661939,-34.629425,-58.495091,Carrasco y Juan B. Justo,,,
2351662449,-34.6315835,-58.4921092,Carrasco y Aranguren,,,
2351662450,-34.6313782,-58.4925905,Carrasco y Aranguren,,,
2351665211,-34.6336967,-58.4896382,Carrasco y Bacacay,,,
2351665212,-34.6332788,-58.4899717,Carrasco y Avellaneda,,,
2351666768,-34.6306257,-58.4937213,Morón y Carrasco,,,
2353040218,-34.5475085,-58.490571,Phillips,,,
2353040248,-34.5483613,-58.4963568,General Paz 3100,,,
2353674560,-34.6292244,-58.4884026,Segurola y Aranguren,,,
2354397465,-34.542312,-58.4842491,Ayacucho - Freire,,,
2355607809,-34.7457881,-58.3935724,Alsina y Chacabuco,,,
2358513180,-34.5441791,-58.4963271,Panamericana,,,
2366554371,-34.5435121,-58.4965619,Laprida,,,
2366554382,-34.5438116,-58.4954581,Laprida,,,
2372873110,-34.5146764,-58.5189723,San Lorenzo,,,
2372873111,-34.5147591,-58.5202493,San Lorenzo,,,
2372873112,-34.5271267,-58.5077681,Malaver,,,
2372873113,-34.527554,-58.5084635,Malaver,,,
2372873114,-34.5379483,-58.5012002,Melo,,,
2372873115,-34.538125,-58.5000521,Melo,,,
2372873116,-34.5190212,-58.5144198,Pelliza,,,
2372873117,-34.5193494,-58.5151506,Pelliza,,,
2372873118,-34.5339544,-58.5029229,San Martín,,,
2372873119,-34.5343751,-58.5036632,San Martín,,,
2372873120,-34.52304,-58.5107598,Ugarte,,,
2372873121,-34.5234067,-58.5114938,Ugarte,,,
2372873131,-34.5146566,-58.5189442,San Lorenzo,,,
2372873162,-34.5230289,-58.5107183,Ugarte,,,
2372873171,-34.5234295,-58.5115154,Ugarte,,,
2372873228,-34.5343965,-58.503688,San Martín,,,
2374478818,-34.5075867,-58.5322783,Edison,,,
2374478819,-34.5077179,-58.5303723,Edison,,,
2374478820,-34.5044487,-58.5371383,Fondo de la Legua,,,
2374478821,-34.5051658,-58.5372901,Fondo de la Legua,,,
2374478822,-34.5099808,-58.5257033,Paraná,,,
2374478823,-34.5104099,-58.5265975,Paraná,,,
2374478833,-34.5044229,-58.5371199,Fondo de la Legua,,,
2374478844,-34.5051815,-58.5373073,Fondo de la Legua,,,
2374478860,-34.507611,-58.5322932,Edison,,,
2374478864,-34.5076998,-58.5303535,Edison,,,
2379693849,-34.6022073,-58.5132415,Est. Devoto (FCSM),,,
2379693854,-34.601872,-58.5128657,Est. Devoto (FCSM),,,
2384907561,-34.611311,-58.4391757,Acoyte y Vallese,,,
2384907564,-34.5979387,-58.4506588,Rosas y Darwin,,,
2384907565,-34.6111532,-58.4392509,Acoyte y Vallese,,,
2384907566,-34.6111033,-58.4390744,Acoyte y Vallese,,,
2384907568,-34.61204,-58.4386506,Acoyte y Vallese,,,
2390257220,-34.602899,-58.5248853,General Paz,,,
2390257222,-34.5948081,-58.5030703,Nueva York y San Martín,,,
2390257223,-34.5999687,-58.5171006,Sanabria y Habana,,,
2390257225,-34.6002767,-58.5209108,Vallejos y Marcos Paz,,,
2390257226,-34.5987823,-58.5184346,Vallejos y Lincoln,,,
2390257227,-34.6013952,-58.5157636,Sanabria y Del Carril,,,
2390257228,-34.6018275,-58.5234101,Vallejos y Allende,,,
2390257229,-34.6015938,-58.5139539,Nueva York y Gualeguaychú,,,
